Row;Plant no;Model;TYPE
100;ODT5479;HD785-5;TLB
101;PBC3334;HM400-2;TYRE HANDLER
102;KTK3785;VOLVO;GRADER
103;OFL9969;CLARK C70;WATER TANKER
104;PBC4679;TCM;WATER TANKER
105;KAD5560;D375A-5;FORKLIFT
106;WT3160;HM400-3R;GRADER
107;KDT0974;WB93R-5;WHEEL LOADER
108;KTH5306;WD600-3;DUMPER
109;KLB3033;EH1600;WATER TANKER
110;KAD4377;WB93R-5;DUMPER
111;OHT1994;EH3500;TYRE HANDLER
112;KHT7554;WA500-3;DUMPER
113;KWD5255;CAT16M;TRACK DOZER
114;ODT6624;HM300-2;WATER TANKER
115;KTD1673;CLARK C70;TRACK DOZER
116;ODT9728;BOBCAT;CABLE REELER
117;KWT6564;WD600-3;DUMPER
118;KTH4262;WA500-3;BOBCAT
119;KWT8460;WB93R-5;PUMP TRUCK
120;KHT2197;WD600-3;PUMP TRUCK
121;KAD9849;BOBCAT;TRACK DOZER
122;PBC5488;WB93-5EO;DUMPER
123;WT4048;HD785-7;CABLE REELER
124;KTK9656;VOLVO;ELECTRIC DUMPER
125;KAD0355;UTILEV UT25P;WATER TANKER
126;KTD5506;CAT16H;FORKLIFT
127;KWD1554;WA500-3;ELECTRIC DUMPER
128;KAD6630;HM400-3R;GRADER
129;KTD8310;HM300-1;CABLE REELER
130;KDT0186;D475A-5EO;FORKLIFT
131;KTD3814;HM300-1;GRADER
132;KWD5626;TCM;WHEEL DOZER
133;ODT6692;WB93-5EO;WATER TANKER
134;PBC9808;VOLVO;SERVICE TRUCK
135;KWT4171;D475A-5EO;FORKLIFT
136;KLB8713;WB93-5EO;GRADER
137;OFL1937;HD785-5;DIESEL BOWZER
138;KTH5503;WA500-3;FORKLIFT
139;OHT7676;HD785-5;DUMPER
140;PBC6469;WA500-3;FORKLIFT
141;KDT3018;CLARK C70;SERVICE TRUCK
142;KAD1682;WA500-3;PUMP TRUCK
143;KHT6201;HD785-7;WATER TANKER
144;KDT7111;VOLVO;TRACK DOZER
145;KTH8538;CAT16H;WHEEL LOADER
146;OFL8026;HM400-2;BOBCAT
147;KLB6713;TCM;PUMP TRUCK
148;KDT9466;UTILEV UT25P;TYRE HANDLER
149;WT3595;D375A-5;DUMP TRUCK ELEC
150;KWT5486;EH3500;DUMP TRUCK ELEC
151;KAD1471;WB93R-5;TLB
152;OBEX0307;WB93-5EO;SERVICE TRUCK
153;ODT9018;WB93-5EO;PUMP TRUCK
154;KHT7150;HM400-3R;TRACK DOZER
155;OFL6625;WB93-5EO;DUMP TRUCK ELEC
156;PBC8480;WA800-3EO;WATER TANKER
157;PBC4058;D375A-5;SERVICE TRUCK
158;OFH6726;WB93-5EO;TYRE HANDLER
159;PBC7443;WB93-5EO;GRADER
160;KTK4676;CAT16M;BOBCAT
161;KDT7925;HM400-3R;TLB
162;KWL2318;WD600-3;SERVICE TRUCK
163;WT7993;VOLVO;CABLE REELER
164;KTD9210;WD600-3;FORKLIFT
165;KTD5536;EH1600;TRACK DOZER
166;ODT5605;HM400-3R;GRADER
167;KTK0702;WD600-3;TYRE HANDLER
168;OBEX2211;D475A-5EO;BOBCAT
169;OBEX8968;730E-6;BOBCAT
170;OHT4243;WA500-3;DIESEL BOWZER
171;KTD8924;730E-6;WHEEL LOADER
172;OBEX2740;WA500-3;TLB
173;OBEX2967;CAT16H;TLB
174;KLB1480;CLARK C70;BOBCAT
175;OFL2605;BOBCAT;SERVICE TRUCK
176;KFH3559;UTILEV UT25P;ELECTRIC DUMPER
177;KWT1391;HM300-1;TYRE HANDLER
178;OBEX8802;WD600-3;TRACK DOZER
179;KHT3569;BOBCAT;FORKLIFT
180;KTD3720;CAT16M;CABLE REELER
181;KTH3791;WA800-3EO;PUMP TRUCK
182;KLB2565;BOBCAT;BOBCAT
183;KWL8227;CAT16H;DUMPER
184;KWT8011;EH1600;GRADER
185;KWT3845;BOBCAT;FORKLIFT
186;WT1513;D475A-5EO;PUMP TRUCK
187;OBEX9299;WA500-3;DIESEL BOWZER
188;KDT8334;EH3500;SERVICE TRUCK
189;OHT1468;D375A-5;DIESEL BOWZER
190;KMG8520;BOBCAT;PUMP TRUCK
191;KFH8967;WA800-3EO;DIESEL BOWZER
192;OHT0873;BOBCAT;BOBCAT
193;KWD1082;HD785-7;PUMP TRUCK
194;KTH6982;CAT16H;DUMPER
195;OFL1190;D375A-5;TRACK DOZER
196;KTD9282;UTILEV UT25P;WHEEL LOADER
197;KWD1708;CAT16H;TYRE HANDLER
198;KHT9690;EH1600;PUMP TRUCK
199;KDT4164;HD785-5;BOBCAT
200;KTK5716;WD600-3;WHEEL DOZER
201;OFL3257;CLARK C70;EXCAVATOR HAMMER
202;OFH7107;D375A-6;WHEEL LOADER
203;KTD7840;HD785-7;TYRE HANDLER
204;KTK5325;TCM;CABLE REELER
205;OFL7274;CAT16H;SERVICE TRUCK
206;KFH0491;WB93R-5;FORKLIFT
207;KAD2032;VOLVO;GRADER
208;KTK6895;WA500-3;TRACK DOZER
209;KFH1458;WA800-3EO;GRADER
210;OFL7221;HM300-1;GRADER
211;OHT4592;HM300-1;TYRE HANDLER
212;WT2465;BOBCAT;WHEEL LOADER
213;ODT5001;HM300-2;WHEEL LOADER
214;ODT5289;HM300-1;TLB
215;KWT5456;VOLVO;DUMPER
216;ODT1768;BOBCAT;WATER TANKER
217;KAD0006;CAT16M;EXCAVATOR HAMMER
218;OHT7737;HM300-2;WATER TANKER
219;ODT1189;WB93-5EO;DUMP TRUCK ELEC
220;KFH7398;730E-6;CABLE REELER
221;KTK5987;HD785-5;CABLE REELER
222;KTD1389;EH1600;SERVICE TRUCK
223;KFH7408;D475A-5EO;CABLE REELER
224;OBEX3561;WA800-3EO;CABLE REELER
225;OFL6716;HM400-2;WHEEL LOADER
226;PBC3906;D475A-5EO;FORKLIFT
227;KHT3598;HM400-2;DUMPER
228;OFL6200;EH1600;BOBCAT
229;ODT6950;BOBCAT;PUMP TRUCK
230;KWT3862;WA800-3EO;TYRE HANDLER
231;KFH5673;WA800-3EO;BOBCAT
232;KTD5902;VOLVO;GRADER
233;OFH8746;D375A-5;FORKLIFT
234;WT1714;HM300-2;ELECTRIC DUMPER
235;WT6901;730E-6;WHEEL LOADER
236;KFH1842;CAT16M;GRADER
237;KWL6696;WB93-5EO;SERVICE TRUCK
238;OFL4757;WB93R-5;EXCAVATOR HAMMER
239;KMG8605;HM400-2;CABLE REELER
240;KWD2581;WA800-3EO;DUMP TRUCK ELEC
241;KDT5458;BOBCAT;TRACK DOZER
242;OHT3208;HM400-2;WATER TANKER
243;PBC0926;D375A-6;WHEEL LOADER
244;KWD0277;TCM;TLB
245;KTH1350;HM300-1;TLB
246;KWT3381;D375A-6;TLB
247;KWT0672;CAT16H;DUMPER
248;KTD9961;D375A-5;DIESEL BOWZER
249;KTK8904;HD785-5;DIESEL BOWZER
250;KWL5116;HM300-1;WHEEL LOADER
251;KWD7294;730E-6;WHEEL DOZER
252;KDT4110;HM400-3R;WATER TANKER
253;OHT0288;WA800-3EO;SERVICE TRUCK
254;KHT2224;730E-6;WHEEL DOZER
255;KDT5946;EH3500;WHEEL LOADER
256;OHT5370;CAT16M;FORKLIFT
257;KWT3448;WD600-3;FORKLIFT
258;KTD7722;HM300-2;PUMP TRUCK
259;WT3700;HD785-7;WATER TANKER
260;KAD6829;HM300-2;TYRE HANDLER
261;KHT4460;D375A-5;WHEEL DOZER
262;KFH0352;UTILEV UT25P;WATER TANKER
263;ODT1475;BOBCAT;WHEEL DOZER
264;PBC8132;WA800-3EO;CABLE REELER
265;KFH2697;CAT16M;WATER TANKER
266;KHT2591;CLARK C70;DUMP TRUCK ELEC
267;KWL1733;WD600-3;DUMP TRUCK ELEC
268;KMG7465;HM300-1;DIESEL BOWZER
269;PBC1459;730E-6;TRACK DOZER
270;KLB0147;HM300-2;WATER TANKER
271;OFL8452;HD785-5;TRACK DOZER
272;KWL8241;TCM;TLB
273;KWD9605;WA800-3EO;TRACK DOZER
274;KDT6520;WA800-3EO;TLB
275;KFH1049;D475A-5EO;ELECTRIC DUMPER
276;OHT5837;BOBCAT;TLB
277;KHT2513;BOBCAT;TRACK DOZER
278;OFH9524;VOLVO;DUMP TRUCK ELEC
279;OFL2538;UTILEV UT25P;CABLE REELER
280;KWT9692;CAT16M;WATER TANKER
281;KFH0882;730E-6;TRACK DOZER
282;WT5559;VOLVO;TRACK DOZER
283;KTD6071;HM300-2;DUMPER
284;KLB2471;UTILEV UT25P;WHEEL LOADER
285;KTD6767;HM300-1;CABLE REELER
286;OHT6947;UTILEV UT25P;WHEEL LOADER
287;OHT2890;BOBCAT;WHEEL LOADER
288;OFH4966;WD600-3;CABLE REELER
289;KAD8580;D475A-5EO;ELECTRIC DUMPER
290;KAD6097;D375A-6;TYRE HANDLER
291;KHT0208;CLARK C70;WHEEL LOADER
292;OHT1897;HD785-7;FORKLIFT
293;KFH9867;TCM;BOBCAT
294;OBEX4735;WB93R-5;FORKLIFT
295;KLB7319;HM300-2;DUMP TRUCK ELEC
296;WT2517;WB93-5EO;TRACK DOZER
297;WT5045;HM300-1;WHEEL LOADER
298;KLB5059;UTILEV UT25P;WATER TANKER
299;WT4460;EH3500;SERVICE TRUCK
300;KDT2281;WD600-3;GRADER
301;KTD5139;CLARK C70;GRADER
302;KWL8893;HM400-3R;GRADER
303;KHT6782;HD785-5;CABLE REELER
304;KHT8996;HM400-2;TLB
305;WT8506;CLARK C70;TRACK DOZER
306;OHT0731;VOLVO;DIESEL BOWZER
307;KTK5399;HD785-7;DIESEL BOWZER
308;ODT3061;D475A-5EO;FORKLIFT
309;KTK1590;D375A-6;PUMP TRUCK
310;ODT5327;HD785-5;DIESEL BOWZER
311;KWL6488;D375A-6;DUMPER
312;KTK6465;D375A-5;TRACK DOZER
313;OFH4874;BOBCAT;GRADER
314;PBC8863;WB93-5EO;EXCAVATOR HAMMER
315;KWD9725;HM300-1;CABLE REELER
316;OBEX7157;CLARK C70;CABLE REELER
317;KTK2693;EH3500;SERVICE TRUCK
318;KFH7095;WB93-5EO;PUMP TRUCK
319;KWT7559;WB93-5EO;CABLE REELER
320;ODT7931;D375A-5;DIESEL BOWZER
321;OFH6249;EH3500;WATER TANKER
322;KAD2657;EH1600;SERVICE TRUCK
323;OHT2978;WB93-5EO;ELECTRIC DUMPER
324;WT0154;D475A-5EO;WHEEL LOADER
325;KFH0984;HM300-1;DUMPER
326;OHT9085;D475A-5EO;ELECTRIC DUMPER
327;OBEX2903;HD785-7;WHEEL LOADER
328;KTD9505;EH1600;BOBCAT
329;WT5475;HD785-7;CABLE REELER
330;KLB1403;EH3500;SERVICE TRUCK
331;PBC2783;HD785-5;GRADER
332;KFH4207;CAT16M;WHEEL DOZER
333;KHT0611;WB93-5EO;EXCAVATOR HAMMER
334;OFL7040;WB93R-5;WHEEL LOADER
335;KLB2175;HM300-1;FORKLIFT
336;KAD6647;CAT16M;DIESEL BOWZER
337;OFH9951;730E-6;PUMP TRUCK
338;KWD7471;WA500-3;WATER TANKER
339;KHT7519;HD785-5;TRACK DOZER
340;ODT5233;HM300-1;WHEEL DOZER
341;KWD3977;BOBCAT;BOBCAT
342;OFL8750;TCM;EXCAVATOR HAMMER
343;KTK3046;EH3500;TRACK DOZER
344;KDT4699;WA800-3EO;WHEEL DOZER
345;KWD5782;CAT16M;TRACK DOZER
346;WT7275;HD785-5;FORKLIFT
347;ODT1421;D375A-6;WHEEL DOZER
348;KTH9596;HD785-7;WATER TANKER
349;PBC6593;D475A-5EO;WHEEL LOADER
350;KLB6294;CAT16H;WHEEL LOADER
351;OFL7925;HM300-1;EXCAVATOR HAMMER
352;KAD8780;WB93R-5;FORKLIFT
353;KFH6294;HD785-5;CABLE REELER
354;KTD7247;HM300-2;EXCAVATOR HAMMER
355;KHT2490;VOLVO;PUMP TRUCK
356;KHT0493;HM400-2;WATER TANKER
357;KTK0850;EH3500;TLB
358;KAD1072;WB93-5EO;DIESEL BOWZER
359;KTH6170;HM300-1;CABLE REELER
360;KWT3676;HM400-3R;WHEEL DOZER
361;KTK8013;WA800-3EO;CABLE REELER
362;OFL9950;UTILEV UT25P;TRACK DOZER
363;WT1677;EH3500;SERVICE TRUCK
364;KTK5330;HM300-2;SERVICE TRUCK
365;OFH8023;HM400-3R;TLB
366;KHT5673;WB93R-5;PUMP TRUCK
367;OFL4842;HD785-7;EXCAVATOR HAMMER
368;KFH0999;BOBCAT;SERVICE TRUCK
369;OFL9162;D475A-5EO;DUMP TRUCK ELEC
370;KMG5939;CAT16H;EXCAVATOR HAMMER
371;KDT0891;D475A-5EO;WATER TANKER
372;KTD9067;CAT16H;SERVICE TRUCK
373;KLB5739;CAT16H;CABLE REELER
374;OHT1721;D475A-5EO;TYRE HANDLER
375;KTK4218;HD785-7;EXCAVATOR HAMMER
376;KHT7498;UTILEV UT25P;DIESEL BOWZER
377;WT8991;EH1600;ELECTRIC DUMPER
378;OFL2025;CLARK C70;DUMPER
379;OFL7225;D375A-5;ELECTRIC DUMPER
380;ODT1296;HD785-5;WHEEL LOADER
381;KAD0489;WD600-3;WHEEL LOADER
382;OHT2223;D375A-5;GRADER
383;OFL2469;HD785-5;GRADER
384;WT0542;HD785-5;TRACK DOZER
385;KTH3089;CAT16M;EXCAVATOR HAMMER
386;WT3993;CAT16M;EXCAVATOR HAMMER
387;KTK2403;HM400-2;TYRE HANDLER
388;KWL3741;CAT16M;TLB
389;KWD0121;HM300-2;WHEEL DOZER
390;KLB7968;TCM;BOBCAT
391;WT3903;TCM;SERVICE TRUCK
392;KWT0358;CAT16M;BOBCAT
393;KAD8565;D375A-6;ELECTRIC DUMPER
394;KTK7803;D475A-5EO;DUMPER
395;KMG1939;HD785-7;DIESEL BOWZER
396;KTK1793;WB93R-5;DUMP TRUCK ELEC
397;KHT7455;HM400-2;BOBCAT
398;OHT7494;UTILEV UT25P;CABLE REELER
399;KWL7780;D375A-5;CABLE REELER
400;KDT9285;CLARK C70;SERVICE TRUCK
401;KTK0087;WA500-3;WATER TANKER
402;KTK3150;VOLVO;ELECTRIC DUMPER
403;KLB3773;CLARK C70;WHEEL LOADER
404;KLB3006;TCM;CABLE REELER
405;WT3284;730E-6;ELECTRIC DUMPER
406;KMG4091;CAT16M;BOBCAT
407;KTK5705;CAT16H;DUMP TRUCK ELEC
408;OBEX6908;CLARK C70;TYRE HANDLER
409;KWD9529;WD600-3;TRACK DOZER
410;OBEX8637;UTILEV UT25P;WHEEL DOZER
411;KTK8943;WD600-3;SERVICE TRUCK
412;WT5049;D375A-6;ELECTRIC DUMPER
413;KWT3851;WB93R-5;DIESEL BOWZER
414;WT3867;CAT16M;TLB
415;WT8037;CLARK C70;TRACK DOZER
416;KTH6005;WD600-3;PUMP TRUCK
417;KMG7218;D375A-5;SERVICE TRUCK
418;KDT4629;WB93-5EO;TLB
419;KFH8048;HM300-1;PUMP TRUCK
420;OFH5052;HM300-1;DUMPER
421;KTK4994;HD785-7;EXCAVATOR HAMMER
422;KLB0312;HD785-5;GRADER
423;ODT0290;UTILEV UT25P;TYRE HANDLER
424;KTH0133;BOBCAT;EXCAVATOR HAMMER
425;KTH3924;D375A-5;CABLE REELER
426;KFH4834;CAT16H;DIESEL BOWZER
427;KDT3881;D375A-5;BOBCAT
428;OFL1045;TCM;BOBCAT
429;KLB9264;HM400-3R;DIESEL BOWZER
430;KFH3948;HM400-3R;DUMPER
431;KTK4748;WD600-3;FORKLIFT
432;ODT8421;WA800-3EO;DUMP TRUCK ELEC
433;KAD9645;D475A-5EO;DIESEL BOWZER
434;OFH0529;WA500-3;SERVICE TRUCK
435;KLB3092;HD785-7;CABLE REELER
436;KAD3151;UTILEV UT25P;WATER TANKER
437;KMG6748;TCM;PUMP TRUCK
438;KHT3961;HD785-7;EXCAVATOR HAMMER
439;OFL3326;HD785-7;DUMPER
440;KWT7537;D375A-5;WATER TANKER
441;KTH3597;WB93R-5;TLB
442;KAD3373;HM300-2;ELECTRIC DUMPER
443;KMG7479;D475A-5EO;FORKLIFT
444;ODT8309;CAT16M;CABLE REELER
445;KAD1960;D475A-5EO;TRACK DOZER
446;OFH5913;HD785-5;DUMP TRUCK ELEC
447;KLB7233;WB93R-5;WATER TANKER
448;OFL9249;WD600-3;TRACK DOZER
449;KWL3105;EH3500;FORKLIFT
450;KMG4258;HM400-3R;ELECTRIC DUMPER
451;PBC3414;BOBCAT;TLB
452;OHT6928;HD785-5;EXCAVATOR HAMMER
453;KWL6129;D375A-6;FORKLIFT
454;KWL5928;CAT16M;DUMPER
455;OFH9416;HM400-2;SERVICE TRUCK
456;KTH5449;HD785-5;FORKLIFT
457;OHT1480;D375A-5;WHEEL DOZER
458;OFL8105;WD600-3;DUMPER
459;KWD6951;HM300-2;FORKLIFT
460;KHT0270;VOLVO;FORKLIFT
461;KTD1185;BOBCAT;TLB
462;OHT8940;WA800-3EO;DUMPER
463;KWD7025;HD785-7;CABLE REELER
464;OBEX1024;HM300-1;TYRE HANDLER
465;PBC4133;730E-6;WHEEL DOZER
466;KHT9387;WA800-3EO;TRACK DOZER
467;KDT4613;WD600-3;TRACK DOZER
468;KAD2716;HM300-1;TLB
469;KWT2954;D375A-6;CABLE REELER
470;KFH9406;WB93-5EO;WHEEL LOADER
471;PBC1890;BOBCAT;EXCAVATOR HAMMER
472;KTH6108;CAT16M;EXCAVATOR HAMMER
473;KDT7421;UTILEV UT25P;GRADER
474;KWL1124;D475A-5EO;PUMP TRUCK
475;OHT9461;D375A-5;BOBCAT
476;KWD7381;CAT16M;CABLE REELER
477;OHT3924;HD785-7;FORKLIFT
478;OFL7886;TCM;EXCAVATOR HAMMER
479;KTD7868;WD600-3;SERVICE TRUCK
480;ODT8571;EH3500;DUMPER
481;PBC0472;WA800-3EO;WHEEL DOZER
482;KWT2350;VOLVO;EXCAVATOR HAMMER
483;KWT1130;CAT16M;FORKLIFT
484;KDT1843;HM300-2;BOBCAT
485;OBEX2102;D375A-6;WATER TANKER
486;KDT4011;HD785-5;WATER TANKER
487;KTH9350;D375A-6;ELECTRIC DUMPER
488;ODT7719;UTILEV UT25P;FORKLIFT
489;KFH4884;TCM;WHEEL DOZER
490;OHT8232;HD785-7;WHEEL DOZER
